FISHERY/YEAR,ALB,YFT,SKJ,BET,PBF,TUN,SWO,BUM,MLS,BIL,ALV ,PTH,BTH,SMA,BSH,SKH, TOTAL ,Fishery
1985,26,"92,623","47,634","1,751","3,320",,,,,,,,,,,,"145,354",Purse Seine
1986,47,"102,736","52,817",264,"4,851",,,,,,,,,,,,"160,715",Purse Seine
1987,1,"123,044","48,667",222,861,,,,,,,,,,,,"172,795",Purse Seine
1988,17,"88,302","78,250","1,120",923,,,,,,,,,,,,"168,612",Purse Seine
1989,1,"77,744","35,671",516,"1,046",,,,,,,,,,,,"114,978",Purse Seine
1990,71,"63,722","53,213",674,"1,380",,,,,,,,,,,,"119,060",Purse Seine
1991,,"26,789","50,107",415,410,,,,,,,,,,,,"77,721",Purse Seine
1992,,"29,668","74,234","3,709","1,928",,,,,,,,,,,,"109,539",Purse Seine
1993,,"23,805","60,485","3,035",580,,,,,,,,,,,,"87,905",Purse Seine
1994,,"10,516","30,183","2,472",906,,,,,,,,,,,,"44,077",Purse Seine
1995,,"16,934","60,036","5,803",657,,,,,,,,,,,,"83,430",Purse Seine
1996,11,"6,653","20,646","6,884","4,639",,,,,,,,,,,,"38,833",Purse Seine
1997,2,"20,866","37,525","8,702","2,240",,,,,,,,,,,,"69,335",Purse Seine
1998,33,"20,831","25,258","3,645","1,771",,,,,,,,,,,,"51,538",Purse Seine
1999,48,"4,989","18,710","3,236",184,,,,,,,,,,,,"27,167",Purse Seine
2000,4,"1,670","5,508",454,693,,,,,,,,,,,,"8,329",Purse Seine
2001,51,"5,362","17,794","1,122",292,,,,,,,,,,,,"24,621",Purse Seine
2002,4,"6,612","4,002",580,50,,,,,,,,,,,,"11,248",Purse Seine
2003,44,"3,562","21,212","3,528",22,,,,,,,,,,,,"28,368",Purse Seine
2004,1,"3,810","6,860","1,437",,,,,,,,,,,,,"12,108",Purse Seine
2005,,"6,792","19,171","3,992",201,,,,,,,,,,,,"30,156",Purse Seine
2006,,"1,112","5,075","1,492",,,,,,,,,,,,,"7,679",Purse Seine
2007,77,"1,112","5,075","1,492",42,,,,,,,,,,,,"7,797",Purse Seine
2008,,"2,725","11,045",555,,,,,,,,,,,,,"14,325",Purse Seine
2009,31,"3,694","14,378",512,410,,,,,,,,,,,,"19,025",Purse Seine
2010,,"7,136","41,523","1,557",,,0,1,1,15,,,,,,34,"50,267",Purse Seine
2011,,"3,996","30,348","1,893",,65,,6,0,10,,,,0,,30,"36,348",Purse Seine
2012,,"5,837","42,479","1,038",,,,,,,,,,,,,"49,354",Purse Seine
2013,,"4,658","62,904","1,988",,,,,,,,,,,,,"69,550",Purse Seine
2014,0,"6,624","57,474",855,401,,0,1,,0,,,,,,,"65,355",Purse Seine
2015,,"10,501","42,658",752,86,,,0,,2,,,,,,,"53,999",Purse Seine
2016,,"6,462","52,859","1,663",316,,,0,,1,,,,,,,"61,301",Purse Seine
2017,,"10,673","45,964","3,435",466,,,3,,,,,,,,,"60,541",Purse Seine
2018,,"10,112","55,662","5,269",12,,,2,,,,,,,,,"71,057",Purse Seine
2019,,10035,62460,3135,226,1,0,3,0,0,0,,,,,,"75,860",Purse Seine
2020,,8081,49445,6379,116,0,0,3,0,0,0,,,,,,"64,024",Purse Seine
2021,,2961,34994,4734,43,0,0,2,0,0,0,,,,,,"42,734",Purse Seine
2022,,3376,27487,6015,198,0,0,1,1,0,0,,,,,,"37,078",Purse Seine
2023,,5516,16286,5012,3,0,0,2,0,0,0,,,,,,"26,819",Purse Seine
2024,1,1650,46751,7062,0,0,0,2,0,0,0,,,,,,"55,466",Purse Seine
1985,,,,,,,2,,,,,,,,,,2,Longline
1986,,,,,,,2,,,,,,,,,,2,Longline
1987,150,261,1,815,,,24,51,272,45,,,,,,,"1,619",Longline
1988,307,594,4,"1,239",,,24,102,504,68,,,,,,,"2,842",Longline
