Year,Purse Seine,Longline,ALB Troll and PL,Tropical PL,Tropical Troll,Tropical HL,Gillnet,Harpoon,Surface hook and line,Sport,Other
1985,53,36,792,27,,,210,99,,,
1986,51,39,419,19,,,220,113,,,
1987,47,37,486,18,"1,899",,210,98,,,
1988,74,50,531,17,"1,878",,192,83,,,
1989,73,88,338,18,"2,002",,158,44,,,
1990,71,138,368,12,"2,042",,146,49,,,
1991,59,141,172,12,"2,117",,123,32,,,
1992,72,124,602,11,"2,160",,113,48,,,
1993,68,122,608,13,"2,132",,105,44,,,
1994,72,127,721,11,"2,210",,112,49,,,
1995,65,116,471,11,"2,387",,127,39,,,
1996,61,114,676,9,"2,411",,100,30,,,
1997,68,117,"1,172",9,"2,400",,104,31,,,
1998,68,122,841,9,"2,370",,87,26,,,
1999,42,140,776,9,"2,502",,78,30,,,
2000,40,130,645,7,"2,229",,77,26,,,
2001,43,125,860,9,"2,208",,64,23,,,
2002,31,123,644,13,"2,045",,45,29,,,
2003,29,128,729,14,"1,960",,37,34,,,
2004,28,126,695,11,"2,012",,33,29,,,
2005,23,126,541,10,"1,917",,37,24,,,
2006,11,128,601,11,"1,916",,45,24,,,
2007,22,130,676,3,"1,869",424,49,28,,,
2008,36,130,525,3,"1,978",475,51,32,,,
2009,46,128,687,6,"2,083",552,35,28,,,
2010,37,125,635,2,"2,042",480,26,26,,,
2011,39,129,656,2,"2,100",508,22,17,,,
2012,40,129,841,1,"2,084",576,17,10,,,
2013,40,136,703,2,"2,185",534,18,13,,,
2014,46,141,615,2,"2,115",499,20,15,81,,
2015,44,143,574,2,"1,957",478,19,15,123,,
2016,41,141,568,2,"1,915",475,21,23,89,,
2017,41,145,517,2,"1,866",494,18,21,82,,
2018,46,143,452,2,"1,840",429,21,14,98,,
2019,41,149,555,2,"1,810",445,15,16,101,,
2020,35,147,405,2,"1,661",398,12,17,127,,
2021,19,146,319,2,"1,818",389,9,11,152,,
2022,23,147,440,2,"1,715",435,7,17,214,,
2023,22,150,324,,"1,699",376,5,18,193,,
2024,13,149,357,,"1,566",330,4,9,149,,
